One unit of length is 1e-10 meters
One unit of velocity is 997.765 meters/second
One unit of time is 1.00224e-13 seconds
One unit of mass is 1.66054e-27 kg
One unit of temperature is 119.735 K
One unit of pressure is 1.65313e+09 Pa
Ek = 3.023e-17 J, 	 T = 2919.4 K
Ek = 3.023e-17 J, 	 T = 2919.4 K
Ek = 3.02283e-17 J, 	 T = 2919.23 K
Ek = 3.02247e-17 J, 	 T = 2918.89 K
Ek = 3.02192e-17 J, 	 T = 2918.36 K
Ek = 3.02118e-17 J, 	 T = 2917.65 K
Ek = 3.02026e-17 J, 	 T = 2916.75 K
Ek = 3.01913e-17 J, 	 T = 2915.66 K
Ek = 3.0178e-17 J, 	 T = 2914.38 K
Ek = 3.01626e-17 J, 	 T = 2912.89 K
Ek = 3.0145e-17 J, 	 T = 2911.19 K
Ek = 3.01251e-17 J, 	 T = 2909.27 K
Ek = 3.01027e-17 J, 	 T = 2907.11 K
Ek = 3.00778e-17 J, 	 T = 2904.7 K
Ek = 3.00502e-17 J, 	 T = 2902.03 K
Ek = 3.00196e-17 J, 	 T = 2899.08 K
Ek = 2.9986e-17 J, 	 T = 2895.83 K
Ek = 2.9949e-17 J, 	 T = 2892.27 K
Ek = 2.99085e-17 J, 	 T = 2888.35 K
Ek = 2.98642e-17 J, 	 T = 2884.07 K
Ek = 2.98158e-17 J, 	 T = 2879.4 K
Ek = 2.97629e-17 J, 	 T = 2874.29 K
Ek = 2.97052e-17 J, 	 T = 2868.72 K
Ek = 2.96424e-17 J, 	 T = 2862.66 K
Ek = 2.9574e-17 J, 	 T = 2856.05 K
Ek = 2.94996e-17 J, 	 T = 2848.86 K
Ek = 2.94186e-17 J, 	 T = 2841.04 K
Ek = 2.93306e-17 J, 	 T = 2832.54 K
Ek = 2.9235e-17 J, 	 T = 2823.31 K
Ek = 2.91312e-17 J, 	 T = 2813.29 K
Ek = 2.90187e-17 J, 	 T = 2802.42 K
Ek = 2.88967e-17 J, 	 T = 2790.64 K
Ek = 2.87649e-17 J, 	 T = 2777.91 K
Ek = 2.86224e-17 J, 	 T = 2764.15 K
Ek = 2.84689e-17 J, 	 T = 2749.33 K
Ek = 2.8304e-17 J, 	 T = 2733.4 K
Ek = 2.81273e-17 J, 	 T = 2716.34 K
Ek = 2.79388e-17 J, 	 T = 2698.13 K
Ek = 2.77385e-17 J, 	 T = 2678.79 K
Ek = 2.75267e-17 J, 	 T = 2658.34 K
Ek = 2.73043e-17 J, 	 T = 2636.85 K
Ek = 2.70719e-17 J, 	 T = 2614.42 K
Ek = 2.6831e-17 J, 	 T = 2591.15 K
Ek = 2.6583e-17 J, 	 T = 2567.2 K
Ek = 2.63297e-17 J, 	 T = 2542.73 K
Ek = 2.60728e-17 J, 	 T = 2517.92 K
Ek = 2.58143e-17 J, 	 T = 2492.96 K
Ek = 2.55562e-17 J, 	 T = 2468.03 K
Ek = 2.53003e-17 J, 	 T = 2443.32 K
Ek = 2.50484e-17 J, 	 T = 2419 K
Ek = 2.48022e-17 J, 	 T = 2395.22 K
Ek = 2.4563e-17 J, 	 T = 2372.13 K
Ek = 2.43323e-17 J, 	 T = 2349.84 K
Ek = 2.41109e-17 J, 	 T = 2328.46 K
Ek = 2.38997e-17 J, 	 T = 2308.06 K
Ek = 2.36992e-17 J, 	 T = 2288.71 K
Ek = 2.351e-17 J, 	 T = 2270.43 K
Ek = 2.33321e-17 J, 	 T = 2253.25 K
Ek = 2.31656e-17 J, 	 T = 2237.17 K
Ek = 2.30101e-17 J, 	 T = 2222.16 K
Ek = 2.28655e-17 J, 	 T = 2208.19 K
Ek = 2.27313e-17 J, 	 T = 2195.22 K
Ek = 2.26069e-17 J, 	 T = 2183.21 K
Ek = 2.24917e-17 J, 	 T = 2172.09 K
Ek = 2.23852e-17 J, 	 T = 2161.81 K
Ek = 2.22868e-17 J, 	 T = 2152.3 K
Ek = 2.21958e-17 J, 	 T = 2143.51 K
Ek = 2.21118e-17 J, 	 T = 2135.4 K
Ek = 2.20342e-17 J, 	 T = 2127.91 K
Ek = 2.19627e-17 J, 	 T = 2121 K
Ek = 2.1897e-17 J, 	 T = 2114.65 K
Ek = 2.18368e-17 J, 	 T = 2108.84 K
Ek = 2.1782e-17 J, 	 T = 2103.55 K
Ek = 2.17326e-17 J, 	 T = 2098.78 K
Ek = 2.16886e-17 J, 	 T = 2094.53 K
Ek = 2.16501e-17 J, 	 T = 2090.82 K
Ek = 2.16174e-17 J, 	 T = 2087.65 K
Ek = 2.15905e-17 J, 	 T = 2085.06 K
Ek = 2.15697e-17 J, 	 T = 2083.05 K
Ek = 2.15552e-17 J, 	 T = 2081.65 K
Ek = 2.15471e-17 J, 	 T = 2080.87 K
Ek = 2.15454e-17 J, 	 T = 2080.7 K
Ek = 2.15501e-17 J, 	 T = 2081.16 K
Ek = 2.15611e-17 J, 	 T = 2082.22 K
Ek = 2.1578e-17 J, 	 T = 2083.85 K
Ek = 2.16004e-17 J, 	 T = 2086.02 K
